單字編號,漢字,假名拼音(分別),假名拼音,重音,詞性,中文意思,常用例句 1日,常用例句 1中,常用例句 2日,常用例句 2中,常用例句 1題目,常用例句 1答案,常用例句 2題目,常用例句 2答案
1,愛,あい,あい,[1],名詞,愛,家族への愛。,對家人的愛。,愛を告白する。,告白愛意。,家族への（　　）。,愛,（　　）を告白する。,愛
2,愛情,あい.じょう,あいじょう,[0],名詞,愛情/感情,愛情を注ぐ。,傾注愛情。,愛情が深い。,感情深厚。,（　　）を注ぐ。,愛情,（　　）が深い。,愛情
3,合図,あい.ず,あいず,[1],名詞/他動三,信號/暗號,合図を送る。,發送信號。,出発の合図。,出發的信號。,（　　）を送る。,合図,出発の（　　）。,合図
4,アイスクリーム,アイスクリーム,アイスクリーム,[5],名詞,冰淇淋,アイスクリームを食べる。,吃冰淇淋。,溶けたアイスクリーム。,融化的冰淇淋。,（　　　　　　　）を食べる。,アイスクリーム,溶けた（　　　　　　　）。,アイスクリーム
5,愛する,あい.する,あいする,[3],他動三,愛/熱愛,家族を愛する。,愛家人。,愛する人。,心愛的人。,家族を（　　　）。,愛する,（　　　）人。,愛する
6,相手,あい.て,あいて,[3],名詞,對手/對象/對方,話し相手。,說話的對象。,結婚相手を探す。,尋找結婚對象。,話し（　　）。,相手,結婚（　　）を探す。,相手
7,あいにく,あいにく,あいにく,[0],狀態副詞/な形,不巧/偏偏,あいにく留守です。,不巧不在家。,あいにくの雨。,偏偏下雨。,（　　　　）留守です。,あいにく,（　　　　）の雨。,あいにく
8,アイロン,アイロン,アイロン,[0],名詞,熨斗,アイロンをかける。,燙衣服。,スチームアイロン。,蒸氣熨斗。,（　　　　）をかける。,アイロン,スチーム（　　　　）。,アイロン
9,明かり,あ.かり,あかり,[0],名詞,光線/燈光,部屋の明かりをつける。,打開房間的燈。,月の明かり。,月光。,部屋の（　　　）をつける。,明かり,月の（　　　）。,明かり
10,空き,あ.き,あき,[0],名詞,空隙/空缺/空閒,空き時間。,空閒時間。,部屋に空きがある。,房間有空缺。,（　　）時間。,空き,部屋に（　　）がある。,空き
11,明らか,あき.らか,あきらか,[2],な形,明顯/清楚,事実が明らかになる。,事實變得明朗。,明らかな間違い。,明顯的錯誤。,事実が（　　　）になる。,明らか,（　　　）な間違い。,明らか
12,諦める,あきら.める,あきらめる,[4],他動二,放棄,夢を諦める。,放棄夢想。,進学を諦める。,放棄升學。,夢を（　　　　）。,諦める,進学を（　　　　）。,諦める
13,飽きる,あ.きる,あきる,[2],自動二,厭倦/膩,毎日のカレーに飽きる。,對每天吃咖哩感到膩了。,飽きずに練習する。,不厭其煩地練習。,毎日のカレーに（　　　）。,飽きる,（　　）ずに練習する。,飽き
14,握手,あく.しゅ,あくしゅ,[1],名詞/自動三,握手,友達と握手する。,和朋友握手。,握手を交わす。,互相握手。,友達と（　　）する。,握手,（　　）を交わす。,握手
15,アクセント,アクセント,アクセント,[1],名詞,重音/口音,アクセントを置く。,放置重音。,関西のアクセント。,關西口音。,（　　　　　）を置く。,アクセント,関西の（　　　　　）。,アクセント
16,明ける,あ.ける,あける,[0],自動二,天明/結束/開始,夜が明ける。,天亮了。,年が明ける。,新的一年開始了/過年了。,夜が（　　　）。,明ける,年が（　　　）。,明ける
17,揚げる,あ.げる,あげる,[0],他動二,油炸/舉起,天ぷらを揚げる。,炸天婦羅。,凧を揚げる。,放風箏。,天ぷらを（　　　）。,揚げる,凧を（　　　）。,揚げる
18,預かる,あず.かる,あずかる,[3],他動一,保管/代管(收下),荷物を預かる。,保管行李。,貴重品を預かる。,代管貴重物品。,荷物を（　　　　）。,預かる,貴重品を（　　　　）。,預かる
19,預ける,あず.ける,あずける,[3],他動二,寄放/委託(交出),銀行にお金を預ける。,把錢存在銀行。,荷物を預ける。,寄放行李。,銀行にお金を（　　　　）。,預ける,荷物を（　　　　）。,預ける
20,汗,あせ,あせ,[1],名詞,汗水,汗をかく。,流汗。,汗を拭く。,擦汗。,（　　）をかく。,汗,（　　）を拭く。,汗
21,与える,あた.える,あたえる,[0],他動二,給予/造成,影響を与える。,造成影響。,餌を与える。,餵食。,影響を（　　　　）。,与える,餌を（　　　　）。,与える
